REFERENCE,ISSUE,TITLE,MSN,MSN_STANDARD,FAL_IDENTIFIER,VERSION_RANK,ATA,STATION_NAME,TYPE_NAME,COMPLEMENT_LABEL,COMPLEMENT,GTI_IDENT,RTI_IDENT,STATUS,URGENT_NEED,GTD_IMPUTATION,CREATION_DATE,OPEN_DATE,ANALYSE_DATE,ANSWER_DATE,CLOSURE_DATE,CANCEL_DATE,LAST_REALLOCATED_NAME,LAST_REALLOCATED_DATE,REALLOCATED_REASON,MULTI_ANSWER,TEXT,ANSWER_TYPE_NAME,ANSWER_COMPLEMENT_LABEL,ANSWER_COMPLEMENT
N13250DU0032,1,DEPOSE REPOSE 192CT/192BT,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027734555,,,CLOSED,N,N,2026-01-07 08:20:00,2026-01-07 08:20:00,2026-01-07 09:41:00,2026-01-07 09:41:00,2026-01-07 12:05:00,,BSENT,2026-01-07 08:32:00,pierre,Y,#[NV]#WO#1027734555#FIN#192CT/192BT#  Work order Number: 1027734555 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Défauts visuels sur les pièces [NV] FIN Number: 192CT/192BT  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Droit Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 192CT/192BT Précisez la zone: BELLY FAIRING DROIT  Texte libre : (complément d'informations): DEPOSE REPOSE PANNEAUX 192CT et 192BT  Numéro de téléphone pro: 0667947611 ,Intervention,WO/NC/Input,1027734555
N13250DU0031,1,DEPOSE REPOSE 540AZ/540BZ,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027740862,,,CLOSED,N,N,2026-01-07 08:01:00,2026-01-07 08:01:00,2026-01-07 09:28:00,2026-01-07 10:45:00,2026-01-07 12:05:00,,BSENT,2026-01-07 08:31:00,"pierre métal, BT ATA28, PAL",Y,#[NV]#WO#1027740862#FIN#540AZ/540BZ#  Work order Number: 1027740862 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Défauts visuels sur les pièces [NV] FIN Number: 540AZ/540BZ  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Gauche Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 540AZ/540BZ Précisez la zone: VOILURE GAUCHE  Texte libre : (complément d'informations): DEPOSE REPOSE 540AZ-540BZ Numéro de téléphone pro: 0667947611,Intervention,WO/NC/Input,1027740862
N13250DU0030,1,dépose repose des portes 640AZ/640BZ,13250,ST5,S,C8J11/4,28.0,ST21,Intervention,WO/NC/Input,1027740961,,,CLOSED,N,N,2026-01-06 22:04:00,2026-01-06 22:04:00,2026-01-07 09:23:00,2026-01-07 10:46:00,2026-01-07 12:53:00,,BSENT,2026-01-07 08:31:00,"pierre métal, BT ATA28, PAL",Y,#[NM]#WO#1027740961#FIN#640AZ/640BZ#  Work order Number: 1027740961 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Pièce manquante [NM] FIN Number: 640AZ/640BZ  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Droit Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 640AZ/640BZ Précisez la zone: réservoir voilure droite  Texte libre : (complément d'informations): suite a la dépose repose des portes 640AZ/640BZ veuillez définir les essais a reprendre,Intervention,WO/NC/Input,1027740961
N13250DU0029,1,dépose repose 192LB/192DT,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027712067,,,CLOSED,N,N,2026-01-06 21:55:00,2026-01-06 21:55:00,2026-01-06 22:39:00,2026-01-06 23:05:00,2026-01-07 12:53:00,,BSENT,2026-01-06 23:05:00,Night Team ATA 33 => CB,Y,"#[NM]#WO#1027712067#FIN#192DT/192LB#  Work order Number: 1027712067 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Pièce manquante [NM] FIN Number: 192DT/192LB  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Droit Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 192LB/192DT Précisez la zone: ventre mou  Texte libre : (complément d'informations): suite a la dépose repose des panneaux 192LB/192DT et la déconnexiion de la prise 60WL-a,veuillez définir les essais à reprendre",Intervention,WO/NC/Input,1027712067
N13250DU0028,1,4010HM + tuyauterie banane demontée,13250,ST5,S,C8J11/4,21.0,ST21,Intervention,WO/NC/Input,1027868305,,,CLOSED,N,N,2026-01-06 21:50:00,2026-01-06 21:50:00,2026-01-07 15:16:00,2026-01-07 15:16:00,2026-01-07 15:34:00,,COLONNA Morgan,2026-01-07 14:43:00,Mickael -> Morgan  ATA21,Y,"#[NF]#WO#1027868305#FIN#4010HM#  Work order Number: 1027868305 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Fonctionnelle Type de défaut (2 letter code): Défaut fonctionnel [NF] FIN Number: 4010HM  Rubriques: Eléments mécanique Pièces structure avion: Tuyauteries Dépose / Pose ou Remplacement: Dépose / Pose Système: Air Précisez la référence (P/N): D2127774700000A Zone (ex : Ventre Mou, Voilure&Nervure, Fuselage&Cadre, Moteur, etc...): ligne 11 Tenant ou aboutissant de la ligne (FIN, élément,..): ligne 11  Texte libre : (complément d'informations): SUite à la dépose du support filtre 4010HM ainsi que de la tuyauterie D2127774700000A (`` tuyauterie banane ``) demandons conduite à tenir Numéro de téléphone pro: 0631745439",Intervention,WO/NC/Input,1027868305
N13250DU0027,1,dépose repose 191LB/191DT et déconnexion 61WL-a,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027710722,,,CLOSED,N,N,2026-01-06 21:22:00,2026-01-06 21:22:00,2026-01-06 22:32:00,2026-01-06 23:03:00,2026-01-07 12:53:00,,BSENT,2026-01-06 23:03:00,Night Team ATA 33 => CB,Y,"#[NM]#WO#1027710722#FIN#191 LB/ 191 DT#  Work order Number: 1027710722 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Pièce manquante [NM] FIN Number: 191 LB/ 191 DT  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Gauche Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 191 LB / 191 DT Précisez la zone: ventre mou  Texte libre : (complément d'informations): Suite a la dépose repose des panneau 191LB, 191DT et la déconnexion de la prise 61WL-a,veuillez définir les essais a reprendre",Intervention,WO/NC/Input,1027710722
N13250DU0026,1,dépose repose 521 AB / 621AB,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027870320,,,CLOSED,N,N,2026-01-06 21:02:00,2026-01-06 21:02:00,2026-01-07 09:07:00,2026-01-07 09:07:00,2026-01-07 12:52:00,,BSENT,2026-01-07 08:34:00,pierre,Y,"#[NM]#WO#1027870320#FIN#621 AB / 521 AB #  Work order Number: 1027870320 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Pièce manquante [NM] FIN Number: 621 AB / 521 AB  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Les deux Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 621 Ab / 521 AB Précisez la zone: voilure  Texte libre : (complément d'informations): suite a la dépose repose des panneaux 521 Ab et 621 Ab, veuillez définir les essais à reprendre Numéro de téléphone pro: 06 28 45 53 10",Intervention,WO/NC/Input,1027870320
N13250DU0025,1,4630VB trifilaire pompe hydrau bleue,13250,ST5,S,C8J11/4,29.0,ST21,Intervention,WO/NC/Input,215938206,,,CLOSED,N,N,2026-01-06 17:15:00,2026-01-06 17:15:00,2026-01-07 10:55:00,2026-01-07 10:57:00,2026-01-07 15:34:00,,BSENT,2026-01-07 09:50:00,pierre,Y,"#[NW]#NC#215938206#FIN#4630VB#  NC: 215938206 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Électrique Type de défaut (2 letter code): Fil endommagé/coupé [NW] FIN Number: 4630VB  Rubriques: Câblage Câblage: Ajout, Remplacement, câbles coupés Raison Câblage: Harnais coupé / remplacé FIN (préciser les numéros des extrémités) ou Câble (préciser le numéro): 4630VB Précisez si des éléments ont été déposés pour accéder à l'intervention:  Texte libre : (complément d'informations): Suite à l'endommagement du câble trifilaire rouge 2912-5802 le harnais trifilaire 4630VB va etre remplacé. demandons conduite à tenir Numéro de téléphone pro: 0631745439",Intervention,WO/NC/Input,215938206
N13250DU0024,1,depose -repose 521CB,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027861070,,,CLOSED,N,N,2026-01-06 10:45:00,2026-01-06 10:45:00,2026-01-06 11:24:00,2026-01-06 11:24:00,2026-01-07 07:44:00,,BSENT,2026-01-06 10:54:00,SEAPHANH,Y,#[NV]#WO#1027861070#FIN#521CB#  Work order Number: 1027861070 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Défauts visuels sur les pièces [NV] FIN Number: 521CB  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Gauche Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 521CB Précisez la zone: VOILURE GAUCHE  Texte libre : (complément d'informations): DEPOSE REPOSE PANNEAU 521 CB Numéro de téléphone pro: 0667947611 ,Intervention,WO/NC/Input,1027861070
N13250DU0023,1,Dépose repose panneaux ventre mou,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,10277417300,,,OBSOLETE (New issue),N,N,2026-01-05 17:14:00,2026-01-05 17:14:00,2026-01-06 08:14:00,2026-01-06 08:14:00,,,,,,N,#[NM]#WO#10277417300#FIN#191BB/KB 192FB/KB#  Work order Number: 10277417300 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Pièce manquante [NM] FIN Number: 191BB/KB 192FB/KB  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Les deux Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 191BB/192FB/192KB/191KB Précisez la zone: ventre mou  Texte libre : (complément d'informations): Suite a la dépose repose des panneaux 191BB 192 FB 191 KB et 192 KB veuillez définir les essais a reprendre Numéro de téléphone pro: 06 28 45 53 10,Intervention,WO/NC/Input,10277417300
N13250DU0023,2,Dépose repose panneaux ventre mou,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,10277417300,,,CLOSED (New issue),N,N,2026-01-06 13:17:00,2026-01-06 13:19:00,2026-01-06 14:47:00,2026-01-06 15:42:00,2026-01-06 21:03:00,,BSENT,2026-01-06 14:28:00,SEAPHANH metal - BT ATA 47 - DC,Y,#[NM]#WO#10277417300#FIN#191BB/KB 192FB/KB#  Work order Number: 10277417300 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Pièce manquante [NM] FIN Number: 191BB/KB 192FB/KB  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Les deux Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 191BB/192FB/192KB/191KB Précisez la zone: ventre mou  Texte libre : (complément d'informations): Suite a la dépose repose des panneaux 191BB 192 FB 191 KB et 192 KB veuillez définir les essais a reprendre Numéro de téléphone pro: 06 28 45 53 10  erratum:WO 1027717300,Intervention,WO/NC/Input,10277417300
N13250DU0022,1,Boutton poussoir 7HK remplacement ,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,215953037,,,CLOSED,N,N,2026-01-05 17:02:00,2026-01-05 17:02:00,2026-01-06 11:09:00,2026-01-06 11:09:00,2026-01-06 15:16:00,,BSENT,2026-01-06 08:13:00,pierre,Y,"#[NV]#NC#215953037#FIN#7HK#  NC: 215953037 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Fonctionnelle Type de défaut (2 letter code): Elément rayé, impacté, cassé [NV] FIN Number: 7HK  Rubriques: Prises Prises: Prise débranchée/rebranchée Liste des FINs impactés (Prises): 7HK  Texte libre : (complément d'informations): Suite au remplacement du B/P 7 HK demandons conduite à tenir Numéro de téléphone pro: 0631745439",Intervention,WO/NC/Input,215953037
N13250DU0010,1,Remplacement 7HK,13250,ST5,S,C8J11/4,,ST25,Intervention,WO/NC/Input,215953037,,,CLOSED,N,N,2025-12-12 00:19:00,2025-12-12 00:19:00,2025-12-12 09:43:00,2025-12-12 09:43:00,2025-12-12 16:06:00,,BSENT,2025-12-12 07:48:00,pierre,Y,"#[NF]#NC#215953037#FIN#7HK#  NC: 215953037 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Fonctionnelle Type de défaut (2 letter code): Défaut fonctionnel [NF] FIN Number: 7HK  Rubriques: Divers élec Divers élec: Autres élément électrique (diodes, capteurs, ...) Dépose / pose ou Remplacement: Remplacement FIN des éléments: 7HK Numéro de câble (si possible):  Texte libre : (complément d'informations): Numéro de téléphone pro: 0789318636",Intervention,WO/NC/Input,215953037
N13250DU0003,1,7589VC-A : DU suite à déconnexion de la prise ,13250,ST5,S,C8J11/4,92.0,ST25,Intervention,WO/NC/Input,1027497075,,,CLOSED,N,N,2025-12-04 13:58:00,2025-12-04 13:58:00,2025-12-04 14:25:00,2025-12-04 14:26:00,2025-12-05 06:35:00,,BSENT,2025-12-04 14:06:00,Mickael,Y,#[CW]#WO#1027497075#FD#FOT postponed#  Work order Number: 1027497075 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: OSW (travaux restants) Type de défaut (2 letter code): OSW (travaux restants) [CW] Mot-clé si aucune information n'est disponible (FD): FOT postponed  Rubriques: Prises Prises: Prise débranchée/rebranchée Liste des FINs impactés (Prises): 7589VC-A  Texte libre : (complément d'informations): BUFFER OSW Numéro de téléphone pro: BUFFER OSW ,Intervention,WO/NC/Input,1027497075
N13250DU0002,2,géné élec 1 et 2 ,13250,ST5,S,C8J11/4,,ST35,Intervention,WO/NC/Input,8240129,,,CLOSED (New issue),N,N,2025-11-29 11:01:00,2025-11-29 11:03:00,2025-12-01 09:41:00,2025-12-01 14:19:00,2025-12-19 15:06:00,,BSENT,2025-12-01 08:59:00,"pierre ATA24, GB ATA31, DC",Y,#[NM]#GTI/RTI#824129#FIN#1WV1 et 1WV2#  GTI/RTI: 824129 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Électrique Type de défaut (2 letter code): Elément manquant / non installé [NM] FIN Number: 1WV1 et 1WV2  Rubriques: Equipements rackés Equipements rackés: Remplacement Equipements téléchargeable ? : Non FIN des équipements impactés: 1WV1 et 1WV2  Texte libre : (complément d'informations): la génés 2 (8.24.0129) a été déroulé avec les SDAC (1WV1 et 1WV2) d'un autre avion. Numéro de téléphone pro: 00000000000000000,Intervention,WO/NC/Input,8240129
N13250DU0001,1,"Demande de test réflectométrie, Crush coax 2T",13250,ST5,S,C8J11/4,,ST40,Intervention,WO/NC/Input,215753269,,,CLOSED,N,N,2025-11-24 13:23:00,2025-11-24 13:23:00,2025-11-24 23:34:00,2025-11-24 23:34:00,2025-11-25 06:43:00,,BSENT,2025-11-24 13:52:00,Mickael,Y,"#[NW]#NC#215753269#WN#2312-7875#  NC: 215753269 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Électrique Type de défaut (2 letter code): Fil endommagé/coupé [NW] Numéro de câble: 2312-7875   Rubriques: Câblage Câblage: Ajout, Remplacement, câbles coupés Raison Câblage: Câble coupé / remplacé FIN (préciser les numéros des extrémités) ou Câble (préciser le numéro): 2312-7875 Précisez si des éléments ont été déposés pour accéder à l'intervention:  Texte libre : (complément d'informations): Crush coax 2T Numéro de téléphone pro: 0789318476",Intervention,WO/NC/Input,215753269
N13166DU0003,1,Câble 3523-1161 réparé & câble 3831-1179Y déconnectée/reconnectée suite à changement de cosse ,13166,ST8,L,DAL03/92,,ST41,Intervention,WO/NC/Input,216094800,,,OPEN,N,N,2026-01-12 23:59:00,2026-01-12 23:59:00,,,,,,,,N,"#[NW]#NC#216094800#WN#3523-1161/3831-1179Y#  NC: 216094800 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Électrique Type de défaut (2 letter code): Fil endommagé/coupé [NW] Numéro de câble: 3523-1161/3831-1179Y   Rubriques: Câblage Câblage: Ajout, Remplacement, Réparation de harnais/gaines Raison Câblage: Câble coupé / remplacé FIN (préciser les numéros des extrémités) ou Câble (préciser le numéro): 3523-1161 / 3831-1179Y Précisez si des éléments ont été déposés pour accéder à l'intervention:  Texte libre : (complément d'informations): Bonjour,   Le câble 3523-1161 va être réparé suivant AIPI07-08-004.  La cosse du câble 3831-1179Y va être remplacée et donc déconnectée/reconnectée.   Demande de conduite à tenir,   Cordialement, Thibo  Numéro de téléphone pro: 0607753601",Intervention,WO/NC/Input,216094800
